Timestamp,Which year are you in?,How are you feeling right now?,"On a scale of 1-100, how would you express this feeling?",Gender,Age,Your location ?,Relationship status,Are you happy with your financial state?,How much have you succeeded to cope up with the environment of your educational institution?,Understanding with your family members?,Are you feeling pressure in your study or work right now?,Are you satisfied with your academic result?,Are you happy with your living place?,Who supports you when you are not succeeding in your academic life?,Have you used any social media within the last 6 hours?,Do you have inferiority complex? ,Are you satisfied with your meal today?,Are you feeling sick/health issues today?,"Have you done any recreational activity (sports, gaming, hobby etc.) today?",How long did you sleep last night?(in hours)
11/28/2020 22:37:20,4th year,Normal,60,Male,21,Home,Single,Yes,4,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,5.5
1/17/2021 21:49:22,4th year,Normal,40,Male,21,Home,Single,Yes,3,Good,Yes,Yes,Yes,Friends,Yes,No,Yes,No,No,7.5
1/17/2021 21:51:08,4th year,Very good,80,Male,21,Home,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,Yes,7
1/17/2021 21:55:25,1st year,Good,65,Male,18,Home,Single,Yes,4,Normal,No,Yes,Yes,Friends,No,No,Yes,No,Yes,5
1/17/2021 22:26:18,1st year,Very bad,30,Male,18,Hall-Mess,Single,Yes,3,Normal,No,Yes,Yes,Friends,No,No,Yes,No,No,6
1/17/2021 22:28:25,3rd year,Very good,75,Male,21,Playground,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,Yes,7
1/17/2021 22:30:45,3rd year,Very good,80,Male,22,Playground,Single,Yes,3,Good,Yes,Yes,Yes,Friends,Yes,No,Yes,No,Yes,5.5
1/17/2021 22:32:40,3rd year,Normal,55,Male,21,Hall-Mess,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,No,Yes,No,6
1/17/2021 22:36:03,2nd year,Very good,80,Male,20,Hall-Mess,It's complicated,Yes,3,Good,No,Yes,Yes,Not applicable,Yes,No,Yes,No,Yes,7
1/17/2021 22:42:55,1st year,Good,75,Male,19,Department,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,Yes,Yes,No,Yes,5
1/18/2021 9:34:10,2nd year,Good,70,Male,20,Department,Single,Yes,3,Good,Not applicable,Not applicable,Yes,Friends,Yes,No,Yes,No,Yes,4
1/18/2021 9:37:36,Not applicable,Very good,80,Male,22,Sister's Home,Single,Yes,3,Good,Yes,Yes,Yes,Not applicable,Yes,No,Yes,No,No,7
1/18/2021 9:41:08,Not applicable,Good,73,Male,22,Cousin's Home,Single,Yes,3,Good,No,Not applicable,Not applicable,Not applicable,Yes,No,Yes,No,Yes,8
1/18/2021 9:43:40,Not applicable,Very good,76,Male,22,Aunt's House,Single,Yes,3,Good,No,Not applicable,Not applicable,Not applicable,Yes,No,Yes,No,No,7.5
1/18/2021 9:46:34,Not applicable,Very good,80,Male,22,Mosque,Single,Yes,3,Good,Not applicable,Not applicable,Yes,Not applicable,Yes,No,Neutral,No,No,6.5
1/18/2021 9:50:28,1st year,Bad,35,Male,19,Hall-Mess,Single,Yes,4,Normal,No,Yes,Not applicable,Not applicable,Not applicable,Maybe,Neutral,No,Yes,6
1/18/2021 10:03:09,4th year,Normal,45,Male,22,Home,Single,Yes,2,Good,Yes,Yes,Yes,Not applicable,Yes,Maybe,Neutral,No,Yes,7.5
1/18/2021 11:03:41,Not applicable,Good,60,Male,22,Playground,Single,Yes,3,Normal,Yes,Yes,Not applicable,Not applicable,No,No,Yes,No,Yes,6
1/18/2021 11:05:27,2nd year,Bad,40,Male,20,Department,Single,Yes,3,Good,No,Yes,Not applicable,Not applicable,No,No,Neutral,No,Yes,5.5
1/18/2021 11:07:26,3rd year,Normal,65,Male,21,Town,Single,Yes,3,Normal,No,Not applicable,Yes,Not applicable,Yes,No,Neutral,No,Yes,4.5
1/19/2021 21:47:20,3rd year,Normal,65,Male,21,Town,Single,Yes,3,Normal,No,Not applicable,Yes,Not applicable,Yes,No,Neutral,No,Yes,4.5
